Country,Liquidity_Score,Execution_Cost_bps
Australia,8,8.59
Brazil,6,23.2
Canada,9,10.66
Chile,7,18.32
China,5,23.9
Colombia,4,20.01
Egypt,3,49.58
France,8,7.28
Germany,10,3.3
Hong Kong,8,10.42
India,4,13.55
Indonesia,6,14.61
Israel,9,8.57
Italy,8,9.73
Japan,10,1.33
Kuwait,7,20.11
Mexico,5,18.41
Netherlands,3,75.07
Nigeria,1,52.77
Peru,5,12.2
Poland,7,22.19
Qatar,6,12.41
Russia,1,64.15
Saudi Arabia,7,17.42
Singapore,9,7.71
South Africa,5,21.34
South Korea,9,8.46
Spain,8,8.12
Switzerland,10,1.1
Turkey,7,20.82
UAE,7,18.37
United Kingdom,8,10.02
United States,10,1.51
