ISIN,Country,Region,Sector,Rating,Currency,Issue_Date,Maturity_Date,MTY_YEARS,Coupon,YLD_YTM_MID,DUR_ADJ_MID,Price,Outstanding_Amount_M,Market_Value,Benchmark_Weight
USXAJI0Y6DPB,United States,North America,Technology,BB+,EUR,2025-12-26,2044-09-06,18.7118,9.65,8.6395,14.0339,113.6005,2242.34,2547.31,0.0004942782803347453
CAHSAHXTHV3A,Canada,North America,Industrial,BB,USD,2024-12-02,2041-08-08,16.6937,8.3094,8.7374,12.5203,93.8983,3980.44,3737.56,0.00072523357166891
GB3ZMF8MDD4V,United Kingdom,Europe,Utility,A-,AUD,2022-03-10,2037-03-31,15.0694,6.3002,5.9245,11.302,103.6455,7000.21,7255.41,0.001407834766056552
SW30T9NT3W5U,Switzerland,Europe,Utility,BB-,GBP,2023-04-18,2030-02-21,6.8542,10.1767,9.3542,5.1407,103.0076,3461.26,3565.36,0.0006918200021097896
RUZBIKCIDKWN,Russia,Europe,Utility,A,USD,2021-12-29,2047-07-24,25.584,6.5406,6.3692,19.188,103.1726,4192.43,4325.44,0.0008393054025191755
USNHJ7XVG0FN,United States,North America,Communications,BBB-,AUD,2024-12-20,2043-12-14,18.997,8.1735,7.8494,14.2477,104.2324,1208.23,1259.37,0.0002443672885927383
ZA9XUY41IBLJ,South Africa,Africa,Utility,BBB+,USD,2024-09-11,2049-07-06,24.8329,8.1431,7.4653,18.6247,113.3216,6685.23,7575.81,0.0014700049616822326
BRH75LXO6QJI,Brazil,Latin America,Communications,BB,USD,2025-03-16,2028-12-24,3.7796,10.299,9.0868,2.8347,104.6697,6117.33,6402.99,0.0012424317755595398
MEUJV6OH9SDB,Mexico,North America,Government,AA,USD,2021-05-30,2043-05-14,21.9709,4.8173,4.0331,16.4781,112.3074,4673.7,5248.91,0.0010184948861472881
MEDW2PCN9T84,Mexico,North America,Government,AA-,USD,2024-12-28,2046-06-14,21.4745,4.632,5.1664,16.1058,89.8977,7677.74,6902.11,0.0013392806770598197
MEAZYTJXEPQ8,Mexico,North America,Financial,AA,USD,2024-10-17,2052-10-21,28.0315,3.8787,4.1948,21.0237,91.8706,4456.84,4094.53,0.0007944997849413794
PE5JSG65KXVF,Peru,Latin America,Corporate,A-,JPY,2022-11-25,2033-10-17,10.9041,7.2355,6.3856,8.1781,105.6394,504.94,533.42,0.00010350444990839743
ME1T2TALA753,Mexico,North America,Technology,A,USD,2021-08-30,2035-05-04,13.6875,6.3668,5.4519,10.2656,108.7258,2578.26,2803.23,0.0005439368211104139
ITLC58DRC11E,Italy,Europe,Government,AAA,USD,2022-06-17,2031-05-14,8.9125,2.4848,3.2431,6.6844,95.3885,9978.53,9518.37,0.0018469379679700668
CARTJ5PHT0HL,Canada,North America,Corporate,BB,USD,2022-11-25,2032-09-10,9.8021,10.7826,9.7168,7.3516,105.3365,5752.48,6059.47,0.0011757753910360263
SW9XPSEIMVIH,Switzerland,Europe,Financial,BBB+,USD,2025-07-21,2047-12-05,22.3901,8.0963,7.7402,16.7925,105.9589,4288.83,4544.4,0.0008817922503163011
INCWI64CIYHE,Indonesia,Asia,Government,BBB,USD,2022-07-24,2029-10-11,7.2225,8.1493,7.2918,5.4169,105.3631,8190.26,8629.51,0.0016744641849368506
